0000 wobject-000115 2458204.09107217   200 1.2289833 R
0001 wobject-000116 2458204.09351428   200 1.2192174 R
0002 wobject-000117 2458204.09591009   200 1.2099276 R
0003 wobject-000118 2458204.09829434   200 1.2009528 R
0004 wobject-000121 2458204.10547021   200 1.1755779 R
0005 wobject-000124 2458204.11264624   200 1.1525316 R
0006 wobject-000127 2458204.11982210   200 1.1316332 R
0007 wobject-000130 2458204.12698640   200 1.1127611 R
0008 wobject-000131 2458204.12938221   200 1.1069011 R
0009 wobject-000132 2458204.13176645   200 1.1012266 R
0010 wobject-000133 2458204.13416226   200 1.0957687 R
0011 wobject-000134 2458204.13654650   200 1.0904994 R
0012 wobject-000135 2458204.13893078   200 1.0854250 R
0013 wobject-000136 2458204.14132659   200 1.0805355 R
0014 wobject-000137 2458204.14371083   200 1.0758432 R
0015 wobject-000138 2458204.14610667   200 1.0713007 R
0016 wobject-000139 2458204.14850248   200 1.0669726 R
0017 wobject-000141 2458204.15328254   200 1.0588030 R
0018 wobject-000143 2458204.15806258   200 1.0513431 R
0019 wobject-000145 2458204.16284268   200 1.0445243 R
0020 wobject-000147 2458204.16762273   200 1.0383674 R
0021 wobject-000149 2458204.17240279   200 1.0328443 R
0022 wobject-000151 2458204.17718285   200 1.0279344 R
0023 wobject-000153 2458204.18196291   200 1.0236331 R
0024 wobject-000155 2458204.18673138   200 1.0199229 R
0025 wobject-000157 2458204.19151144   200 1.0168009 R
0026 wobject-000159 2458204.19629159   200 1.0142489 R
0027 wobject-000161 2458204.20107163   200 1.0122712 R
0028 wobject-000162 2458204.20346744   200 1.0114954 R
0029 wobject-000163 2458204.20585169   200 1.0108607 R
0030 wobject-000164 2458204.20824750   200 1.0103674 R
0031 wobject-000165 2458204.21063174   200 1.0100137 R
0032 wobject-000166 2458204.21301597   200 1.0098002 R
0033 wobject-000167 2458204.21541179   200 1.0097268 R
0034 wobject-000168 2458204.21780760   200 1.0097933 R
0035 wobject-000169 2458204.22019184   200 1.0100002 R
0036 wobject-000171 2458204.22497189   200 1.0108332 R
0037 wobject-000174 2458204.23214775   200 1.0131416 R
0038 wobject-000177 2458204.23931203   200 1.0167255 R
0039 wobject-000180 2458204.24647633   200 1.0216066 R
0040 wobject-000183 2458204.25364064   200 1.0278124 R
0041 wobject-000186 2458204.26081650   200 1.0353841 R
0042 wobject-000189 2458204.26799236   200 1.0443753 R
0043 wobject-000192 2458204.27515665   200 1.0548012 R
